"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4761266";"";"None";"459.93";"0";"2.62";"48";"COc1cc(C(=O)N2CC(C)OCC2CCO)cn2nc(NCc3cccc(Cl)c3)nc12";"IC50";"'='";"52.0";"nM";"7.28";"";"";"UO_0000065";"15.84";"0.31";"4.66";"7.20";"0";"CHEMBL4672669";"Inhibition of purified human plasma thrombin using Boc-Asp(OBzl)-Pro-Arg-AMC substrate incubated for 30 mins by fluorescence based assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4665889";"1";"Scientific Literature";"J Med Chem";"2020";"None";"TIME = 0.5 hr";"INHIBITOR";"";"52.0"
"CHEMBL2070237";"";"None";"491.64";"0";"4.73";"2{3,1,2}";"CCc1nc(-c2ccc(S(C)(=O)=O)c([N+](=O)[O-])c2)sc1C(=O)N1CC2(C)CC1CC(C)(C)C2";"IC50";"'='";"2400.0";"nM";"5.62";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2072982";"Antagonist activity at human TRbeta assessed as inhibition of interaction with SRC2-2 after 3 hrs by fluorescence polarisation assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2069280";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"2.4"
"CHEMBL3126377";"";"None";"394.47";"0";"3.57";"5b";"Cc1c(CC(=O)NCC(=O)O)c2ccccc2n1Cc1ccc(O)c(C(C)C)c1";"IC50";"'='";"430.0";"nM";"6.37";"";"";"UO_0000065";"16.14";"0.30";"2.80";"6.95";"0";"CHEMBL3131651";"Displacement of [125I]-Triiodothyronine from human recombinant TRbeta1 ligand binding domain after 2 to 3 hrs by beta counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3124871";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";"";"";"";"0.43"
"CHEMBL3126374";"";"None";"351.45";"0";"4.84";"4c";"Cc1c(CCC(=O)O)c2ccccc2n1Cc1ccc(O)c(C(C)C)c1";"IC50";"'='";"760.0";"nM";"6.12";"";"";"UO_0000065";"17.41";"0.32";"1.28";"9.80";"0";"CHEMBL3131651";"Displacement of [125I]-Triiodothyronine from human recombinant TRbeta1 ligand binding domain after 2 to 3 hrs by beta counting";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3124871";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";"";"";"";"0.76"
"CHEMBL202521";"";"None";"447.11";"1";"5.52";"82";"CCC(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br";"IC50";"'='";"141.25";"nM";"6.85";"";"";"UO_0000065";"15.32";"0.37";"1.33";"9.06";"1";"CHEMBL898226";"Inhibition of human thyroid hormone receptor beta 1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149596";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"6.85"
"CHEMBL238178";"";"None";"579.24";"2";"5.32";"78";"COc1cccc(CCNC(=O)c2cc(Oc3c(Br)cc(CC(=O)O)cc3Br)ccc2O)c1";"IC50";"'='";"8.511";"nM";"8.07";"";"";"UO_0000065";"13.93";"0.33";"2.75";"7.68";"0";"CHEMBL898226";"Inhibition of human thyroid hormone receptor beta 1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149596";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"8.07"
"CHEMBL235816";"";"None";"563.24";"2";"5.70";"74";"O=C(O)Cc1cc(Br)c(Oc2ccc(O)c(C(=O)NCCCc3ccccc3)c2)c(Br)c1";"IC50";"'='";"6.761";"nM";"8.17";"";"";"UO_0000065";"14.51";"0.35";"2.47";"8.52";"1";"CHEMBL898226";"Inhibition of human thyroid hormone receptor beta 1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149596";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"8.17"
"CHEMBL235383";"";"None";"562.13";"2";"7.15";"64";"O=C(O)Cc1cc(Br)c(Oc2ccc(O)c(Oc3ccccc3C(F)(F)F)c2)c(Br)c1";"IC50";"'='";"7.586";"nM";"8.12";"";"";"UO_0000065";"14.45";"0.36";"0.97";"10.69";"1";"CHEMBL898226";"Inhibition of human thyroid hormone receptor beta 1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149596";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"8.12"
"CHEMBL237601";"";"None";"260.33";"0";"3.63";"4a";"CCCCCCc1ccc(C(=O)/C=C\C(=O)O)cc1";"IC50";"'='";"17700.0";"nM";"4.75";"";"";"UO_0000065";"18.25";"0.34";"1.12";"8.74";"0";"CHEMBL900770";"Displacement of labeled SRC2-2 from human TRbeta expressed in BL21 (DE3) cells FP assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BL21-DE3";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137577";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"17.7"
"CHEMBL235489";"";"None";"289.38";"0";"3.78";"7f";"C=C(CC(=O)Nc1ccc(CCCCCC)cc1)C(=O)O";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL900770";"Displacement of labeled SRC2-2 from human TRbeta expressed in BL21 (DE3) cells FP assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BL21-DE3";"None";"";"";"";"CHEMBL1947";"Thyroid hormone receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137577";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"100.0"
