Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,C/C=C(/C(=O)O[C@H]1C[C@@H](OC(=O)C)[C@@]2([C@H]3[C@@]41CO[C@]([C@H]4[C@@](C)([C@@H]([C@@H]3OC2)O)[C@@]12O[C@@]2(C)[C@H]2C[C@@H]1O[C@H]1[C@]2(O)C=CO1)(O)C(=O)OC)C(=O)OC)\C,C35H44O16,720.71,51,0,0.77,10,16,3,165.92,215.34,2.9,1.09,-0.2,-0.47,1.07,0.88,-4.34,0.0333,4.62e-05,Moderately soluble,-5.2,0.0045,6.25e-06,Moderately soluble,-1.4,28.6,0.0397,Soluble,Low,No,Yes,No,No,No,No,No,-9.92,2,3,1,1,4,0.17,0,3,2,8.11
Molecule 2,COC(=O)C[C@H]1[C@@]2(C)[C@H](O[C@H]3C2=C(C)[C@@H](C3)c2cocc2)[C@@H]([C@@H]2[C@]1(C)C(=O)C=C[C@@]2(C)C(=O)OC)OC(=O)C,C30H36O9,540.6,39,5,0.6,8,9,0,138.81,118.34,3.68,2.28,3.92,2.04,3.96,3.17,-4.2,0.0345,6.38e-05,Moderately soluble,-4.4,0.0214,3.96e-05,Moderately soluble,-5.44,0.00197,3.64e-06,Moderately soluble,High,No,No,No,No,No,No,No,-7.98,1,3,0,0,0,0.55,0,2,2,6.54
Molecule 5,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1c(O)cc(c2c1oc(cc2=O)c1ccc(cc1)O)O,C21H20O10,432.38,31,16,0.29,3,10,7,106.61,181.05,1.63,0.21,-0.23,-2.02,0.33,-0.02,-2.84,0.629,0.00146,Soluble,-3.57,0.116,0.000268,Soluble,-2.38,1.81,0.0042,Soluble,Low,No,No,No,No,No,No,No,-8.79,1,0,1,1,2,0.55,0,0,1,5.12
Molecule 10,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,C21H20O12,464.38,33,16,0.29,4,12,8,110.16,210.51,0.94,0.36,-0.54,-2.59,-0.59,-0.48,-3.04,0.423,0.00091,Soluble,-4.35,0.021,4.51e-05,Moderately soluble,-1.51,14.3,0.0308,Soluble,Low,No,No,No,No,No,No,No,-8.88,2,1,1,1,3,0.17,1,1,1,5.32
Molecule 11,O=C(O[C@@H]1C[C@@](O)(C[C@H]([C@H]1O)O)C(=O)O)/C=C/c1ccc(c(c1)O)O,C16H18O9,354.31,25,6,0.38,5,9,6,83.5,164.75,0.87,-0.42,-0.75,-1.05,-0.61,-0.39,-1.62,8.5,0.024,Very soluble,-2.58,0.942,0.00266,Soluble,0.4,894.0,2.52,Soluble,Low,No,No,No,No,No,No,No,-8.76,1,1,1,1,2,0.11,1,2,1,4.16
Molecule 17,C[C@@H]1CC[C@]2([C@@H]([C@H]1C)C1=CC[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C(=O)O,C30H48O3,456.7,33,0,0.9,1,3,2,136.91,57.53,3.95,7.34,7.09,5.82,5.46,5.93,-7.23,2.69e-05,5.89e-08,Poorly soluble,-8.38,1.92e-06,4.21e-09,Poorly soluble,-5.67,0.000972,2.13e-06,Moderately soluble,Low,No,No,No,No,No,No,No,-3.87,1,3,0,1,1,0.85,0,1,2,6.21
Molecule 18,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,C29H50O,414.71,30,0,0.93,6,1,1,133.23,20.23,5.05,9.34,8.02,6.73,7.04,7.24,-7.9,5.23e-06,1.26e-08,Poorly soluble,-9.67,8.9e-08,2.15e-10,Poorly soluble,-6.19,0.000269,6.49e-07,Poorly soluble,Low,No,No,No,No,No,No,No,-2.2,1,3,0,1,2,0.55,0,1,2,6.3
Molecule 21,CC1=CCC2CC1C2(C)C,C10H16,136.23,10,0,0.8,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,2.79,3.44,-3.51,0.0424,0.000311,Soluble,-4.2,0.00859,6.31e-05,Moderately soluble,-2.23,0.806,0.00592,Soluble,Low,Yes,No,No,No,Yes,No,No,-3.95,1,1,0,0,2,0.55,0,1,2,4.44
